GCA_045257735.1	UGMSLYSS_Db01
GCA_054501585.1	GBBC 1200
GCA_055392065.1	MAFF 311869
GCA_055391285.1	MAFF 311871
GCA_055397595.1	MAFF 106205
GCA_055390515.1	MAFF 211282
GCA_057320845.1	RalTom1
GCA_047120255.1	DG-3
GCA_001891105.1	EP1
GCA_049485675.1	RS848
GCA_040429625.1	EN1
GCA_055392795.1	MAFF 106218
GCA_024925465.1	LMG 9673
GCA_046529245.1	MSG-1
GCA_049860725.1	Gazipur 5
GCA_054501595.1	GBBC 1202
GCA_006088755.1	UW386
GCA_049860735.1	Gazipur 4
GCA_045038165.1	RUN0320
GCA_045038115.1	RUN5935
GCA_000348545.1	FQY_4
GCA_000009125.1	GMI1000
GCA_003595305.1	RS 476
GCA_050516405.1	UW608_UCD723
GCA_014884725.1	UW763
GCA_037101315.1	MAFF 211519
GCA_045038135.1	RUN3223
GCA_029220065.1	PSS4
GCA_055383745.1	MAFF 106267
GCA_055390885.1	MAFF 311872
GCA_014884705.1	RUN2279
GCA_050516435.1	UW605_UCD733
GCA_055385165.1	MAFF 106264
GCA_045038065.1	RUN6499
GCA_045038055.1	RUN6534
GCA_055387035.1	MAFF 311881
