York_Number	Earlham_Number	Protect_Number	Diag_Code	NCPPB_Number	Alternative_ID 	Host	Potential_Host_Specification	Year	Continent	Country	Region_Origin	County	Comments	Species	Logitude	Latitude											
YO104	104	136		NCPPB 3726	T389	Banana		1987	Asia	Indonesia				Ralstonia syzygii subsp. celebesensis													
YO105	105	137			T391	Banana		1987	Asia	Indonesia				Ralstonia syzygii subsp. celebesensis													
YO106	106	"138, 5780"		NCPPB 3727	T394	Banana		1987	Asia	Indonesia	South Sulawesi			Ralstonia syzygii subsp. celebesensis													
YO107	107	139		NCPPB 3728	T440	Banana		1987	Asia	Indonesia				Ralstonia syzygii subsp. celebesensis													
YO108	108	142			T328	Clove		1987	Asia	Indonesia			Grow on CS. Hard to grow. Removed from phenotyping experiments.	Ralstonia syzygii													
YO109	109	143			T329	Clove		1987	Asia	Indonesia			Grow on CS. Hard to grow.	Ralstonia syzygii													
YO110	110	144			T326	Syzygium agneum		1987	Asia	Indonesia			Hard to grow. Removed from phenotyping experiments.	Ralstonia syzygii													
YO111	111	148		NCPPB 3794	T305	Clove		1987	Asia	Indonesia	Central Java			Ralstonia solanacearum													
YO112	112	7233	20720807			Water		2007	Europe	Ireland				Ralstonia solanacearum													
YO113	113	7234	20720808			Water		2007	Europe	Ireland				Ralstonia solanacearum													
YO114	114		20719104		Protect 2 I2	Potato		2007	Europe	Ireland				Ralstonia solanacearum													
YO115	115	7235	20720809		Protect 2 I10	Unknown	Tomato/Water?	2007	Europe	Ireland				Ralstonia solanacearum													
YO116	116		20722587		Protect 2 J9	Tomato		2007	Europe	Ireland				Ralstonia solanacearum													
YO117	117		20722588		Protect 2 J4	Tomato		2007	Europe	Ireland				Ralstonia solanacearum													
YO118	118			NCPPB 0928		Sugarcane		1956	North America	Jamaica			Sugarcane - may be new species. Sequence.	Ralstonia sp.													
YO119	119	140		NCPPB 3445	T330	Clove		1983	Asia	Java			grow on CS. Hard to grow.	Ralstonia syzygii subsp. syzygii													
YO120	120	6577		NCPPB 173		Potato		1945	Africa	Kenya				Ralstonia solanacearum													
YO121	121	7358		NCPPB 1028		Potato		1961	Africa	Kenya				Ralstonia solanacearum													
YO122	122			NCPPB 1045		Eggplant		1961	Africa	Kenya				Ralstonia sp.													
YO123	123			NCPPB 1049		Tomato		1961	Africa	Kenya				Ralstonia solanacearum													
YO124	68	"4142, 4448"		NCPPB 4215		Water		2001	Africa	Kenya				Ralstonia pseudosolanacearum													
YO125	125	"4134, 4444"		NCPPB 4211		Pelargonium hortorum		2001	Africa	Kenya				Ralstonia solanacearum													
YO126	126	"4135, 4445"		NCPPB 4212		Pelargonium hortorum		2001	Africa	Kenya				Ralstonia solanacearum													
YO127	127	"4138, 4446"		NCPPB 4213		Water		2001	Africa	Kenya				Ralstonia solanacearum													
YO128	128	"4140, 4447"		NCPPB 4214		Soil		2001	Africa	Kenya				Ralstonia pseudosolanacearum													
YO129	129	6826		NCPPB 1489		Potato		1963	Africa	Madeira				Ralstonia solanacearum													
YO130	130			NCPPB 0792		Teak		1960	Asia	Malaysia				Ralstonia sp.													
YO131	131			NCPPB 1052		Ginger		1961	Asia	Malaysia				Ralstonia pseudosolanacearum													
YO132	132			NCPPB 1614		Potato		1964	Asia	Malaysia				Ralstonia solanacearum													
YO133	133			NCPPB 3190		Tomato		1978	Asia	Malaysia				Ralstonia pseudosolanacearum													
YO134	134			NCPPB 2199		Eggplant		1965	North America	Martinique				Ralstonia sp.													
YO135	196	876		NCPPB 253		Pine tree		1949	Africa	Mauritius				Ralstonia pseudosolanacearum													
YO136	136			NCPPB 0500		Broad bean		1956	Africa	Mauritius				Ralstonia sp.													
YO137	137			NCPPB 0501		Cabbage		1956	Africa	Mauritius				Ralstonia sp.													
YO138	138			NCPPB 0503		Dahlia sp.		1956	Africa	Mauritius				Ralstonia sp.													
YO139	139			NCPPB 1621		Potato		1960	Africa	Mauritius				Ralstonia sp.													
YO140	140			NCPPB 1484		Strelitzia reginae		1963	Africa	Mauritius				Ralstonia sp.													
YO141	141			NCPPB 1485		Common bean		1963	Africa	Mauritius				Ralstonia sp.													
YO142	142	5682		NCPPB 3974	"R287, UW278"	Tomato			North America	Mexico				Ralstonia solanacearum													
YO143	143	6830		NCPPB 3238		Potato		1982	Europe	Netherlands				Ralstonia solanacearum													
YO144	167	"4436, 3605, 5690"		NCPPB 4156	"SMT 71, PD 2762"	Potato		1995	Europe	Netherlands				Ralstonia solanacearum													
YO145	145			NCPPB 1703		Potato		1965	Europe	Nigeria	Ex. Netherlands		from potato tubers var. Trianta imported into Nigeria from Holland in 1963	Ralstonia sp.													
YO146	146			NCPPB 2088		Potato		1968	Africa	Nigeria				Ralstonia solanacearum													
YO147	147		21106713		Protect 7 G2	Potato		2011	Asia	Pakistan				Ralstonia solanacearum													
YO148	148		21108524		Protect 7 G7	Potato		2011	Asia	Pakistan				Ralstonia solanacearum													
YO149	149	5781		NCPPB 1123		Tomato		1961	Oceania	Papua New Guinea				Ralstonia pseudosolanacearum													
YO150	150	5782		NCPPB 1140		Tomato		1961	Oceania	Papua New Guinea				Ralstonia sp.													
YO151	151			NCPPB 2937		Potato		1975	Oceania	Papua New Guinea				Ralstonia sp.													
YO152	152	"7028, 6285, 3602"		NCPPB 3985	R578	Eggplant		1987	South America	Peru				Ralstonia solanacearum													
YO153	100	5772		NCPPB 3990		Potato		1989	South America	Peru				Ralstonia solanacearum													
YO154	5	3613			R355	Tomato			South America	Peru				Ralstonia solanacearum bv 3													
YO155	39	5686			"CIP301, R311"	Potato			South America	Peru				Ralstonia solanacearum													
YO156	156	"5785, 6287"		NCPPB 3996		Tomato			South America	Peru				Ralstonia pseudosolanacearum													
YO157	157	8024		NCPPB 2315		Banana			South America	Peru				Ralstonia solanacearum													
YO158	158			NCPPB 3986		Potato			South America	Peru				Ralstonia solanacearum													
YO159	159	5776		NCPPB 3970		Banana		1992	Asia	Philippines				Ralstonia solanacearum													
YO160	160	5778		NCPPB 3971		Banana			Asia	Philippines				Ralstonia solanacearum													
YO161	161	"6288, 4368, 3614"		NCPPB 4005	R470	Ginger			Asia	Philippines				Ralstonia pseudosolanacearum													
YO162	162		21422327		Protect 12 E6	Culture		2014	Europe	Poland				Ralstonia solanacearum													
YO163	163		21622099		Protect 13 C4	Rose		2016	Europe	Poland				Ralstonia solanacearum													
YO164	164		21622100		Protect 13 C5	Rose		2016	Europe	Poland				Ralstonia solanacearum													
YO165	165			NCPPB 1019		Tomato		1960	Europe	Portugal				Ralstonia solanacearum													
YO166	40	3608			EURS 79	Potato		1995	Europe	Portugal				Ralstonia solanacearum													
YO167	180	4438		NCPPB 4158		Potato		1995	Europe	Portugal				Ralstonia solanacearum													
YO168	168	7421		NCPPB 1225		Tomato		1958	North America	Puerto Rico				Ralstonia solanacearum													
YO169	169			NCPPB 1226		Tomato		1958	North America	Puerto Rico				Ralstonia solanacearum													
YO170	170		21123062 (1)		Protect 9 G6	Potato		2012	Europe	Serbia				Ralstonia solanacearum													
YO171	171		21123062 (2)		Protect 9 G7	Potato		2012	Europe	Serbia				Ralstonia solanacearum													
YO172	172		21123063 (1)		Protect 9 G8	Potato		2012	Europe	Serbia				Ralstonia solanacearum													
YO173	173		21123063 (2)		Protect 9 G9	Potato		2012	Europe	Serbia				Ralstonia solanacearum													
YO174	174		21025506/2		Protect 11 H5	Unknown		2013	Europe	Serbia				Ralstonia solanacearum													
YO175	175		21025507/5		Protect 11 H8	Unknown		2013	Europe	Serbia				Ralstonia solanacearum													
YO176	176		21025509/10		Protect 11 I3	Unknown		2013	Europe	Serbia				Ralstonia solanacearum													
YO177	177		21025510/11		Protect 11 I4	Unknown		2013	Europe	Serbia				Ralstonia solanacearum													
YO178	178			NCPPB 1763		Tomato		1965	Africa	Seychelles				Ralstonia sp.													
YO179	269	2376				Potato		1980	Europe	Slovenia			After 48hours of growth get white circles on colony. Contaminated!! Both stocks. Removed from phenotyping experiments.	Ralstonia solanacearum													
YO180	85	"4440, 3606"		NCPPB 4160	SMT 69	Potato		1996	Europe	Spain				Ralstonia solanacearum													
YO181	181			NCPPB 1323		Potato		1962	Asia	Sri Lanka				Ralstonia solanacearum													
YO182	182			NCPPB 3217		Tumeric		1980	Asia	Sri Lanka				Ralstonia sp.													
YO183	183	"6293, 3607"		NCPPB 2505	EURS 50	Potato		1972	Europe	Sweden				Ralstonia solanacearum													
YO184	184	6578		NCPPB 2797		Solanum dulcamara		1974	Europe	Sweden				Ralstonia solanacearum													
YO185	185			NCPPB 2796		Bittersweet		1975	Europe	Sweden				Ralstonia solanacearum													
YO186	186	5774		NCPPB 1695		Sugarcane		1965	Africa	Tanzania			Sugarcane - might vbe new species	Ralstonia sp.													
YO187	6	4363		NCPPB 4000		Ginger			Asia	Thailand				Ralstonia pseudosolanacearum													
YO188	155	5684			"R299, UW30"	Tomato		1957	South America	Trinidad				Ralstonia solanacearum													
YO189	189			NCPPB 0446		Banana		1957	South America	Trinidad				Ralstonia solanacearum													
YO190	190			NCPPB 0616		Tomato		1957	South America	Trinidad				Ralstonia solanacearum													
YO191	191	8023		NCPPB 2198		Banana		1968	South America	Trinidad				Ralstonia solanacearum													
YO192	192			NCPPB 2201		Tomato		1968	South America	Trinidad				Ralstonia sp.													
YO193	193			NCPPB 1486		Peanut		1963	Africa	Uganda				Ralstonia pseudosolanacearum													
YO194	194			NCPPB 2484		Peanut		1969	Africa	Uganda				Ralstonia pseudosolanacearum													
YO195	195		21517093		Protect 12 I8	Potato		2015	Africa	Uganda				Ralstonia solanacearum													
YO196	17	1143			A5373/7/3	Potato		1992	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1926559	51.6534306											
YO197	197	"1123, 2797"				Potato		1992	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1926559	51.6534306											
YO198	198	1140			A5370/2	Potato	cv. Romano	1992	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1926559	51.6534306											
YO199	199	6594		NCPPB 3854		Potato	cv Estima	1992	Europe	UK				Ralstonia solanacearum													
YO200	200	6595		NCPPB 3855		Potato	cv. Marfona	1992	Europe	UK				Ralstonia solanacearum													
YO201	201	6596		NCPPB 3856		Potato	cv. Nadine	1992	Europe	UK				Ralstonia solanacearum													
YO202	202	6598		NCPPB 3858		Potato	cv. Cara	1992	Europe	UK				Ralstonia solanacearum													
YO203	203			NCPPB 3815		Potato		1992	Europe	UK	Ex. Bangladesh			Ralstonia solanacearum													
YO204	204	6003			BR265	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1792539	51.634739											
YO205	205	6011			"BR217, 21501/53/17"	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2225347	51.63863											
YO206	206	6057			BR300	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1206982	51.599249											
YO207	207	6058			BR293	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1253052	51.584896											
YO208	208	6059			BR292	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1146617	51.61269											
YO209	209	6060			BR287	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1445891	51.557165											
YO210	210	6084			BR278	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1778091	51.634729											
YO211	211	6087			BR274	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1561216	51.635474											
YO212	212	6089			BR268	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1518209	51.633645											
YO213	213	6091			BR258	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.194748	51.657325											
YO214	214	6093			BR255	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.197623	51.658244											
YO215	215	6095			BR245	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2107573	51.65114											
YO216	216	6100			BR238	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2107729	51.650241											
YO217	217	6634			Sd 9	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2288024	51.6346557											
YO218	218	6635			Sd24	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2288024	51.6346557											
YO219	219	6097			BR237	Solanum dulcamara		1993	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.221059	51.640419											
YO220	220	6001			BR 1117	Solanum dulcamara		1994	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.749835	51.662515											
YO221	221	6044			BR1062	Solanum dulcamara		1994	Europe	UK		Berkshire		Ralstonia solanacearum	-0.86627336	51.553907											
YO222	222	6045			BR355	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.91430113	51.475233											
YO223	223	6046			BR354	Solanum dulcamara		1994	Europe	UK		Berkshire		Ralstonia solanacearum	-0.89373401	51.492126											
YO224	224	6047			BR353	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.88487413	51.501034											
YO225	225	6048			BR352	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.88487413	51.501034											
YO226	226	6049			BR351	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.88487413	51.501034											
YO227	227	6050			BR350	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.88923896	51.499277											
YO228	228	6051			BR346	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.89072292	51.497492											
YO229	229	6052			BR345	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.88172937	51.511794											
YO230	230	6053			BR344	Solanum dulcamara		1994	Europe	UK		Berkshire		Ralstonia solanacearum	-0.87601077	51.509941											
YO231	231	6054			BR333	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2671522	51.649707											
YO232	232	6055			BR328	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2744501	51.645256											
YO233	233	6056			BR319	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2369231	51.642321											
YO234	234	6061			BR327	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2744501	51.645256											
YO235	235	6064			BR1067	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1947798	51.655527											
YO236	236	6068			BR477	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2969996	51.775767											
YO237	237	6070			BR463	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2482922	51.741299											
YO238	238	6071			BR442	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2371156	51.716951											
YO239	239	6074			BR406	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2330319	51.701639											
YO240	240	6075			BR405	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2328952	51.70973											
YO241	241	6076			BR403	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2356985	51.715143											
YO242	242	6077			BR398	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2231808	51.68539											
YO243	243	6078			BR396	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2232269	51.682693											
YO244	244	6079			BR394	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.2261655	51.680015											
YO245	245	6080			BR360	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.8907011	51.498391											
YO246	246	6081			BR359	Solanum dulcamara		1994	Europe	UK		Berkshire		Ralstonia solanacearum	-0.89373401	51.492126											
YO247	247	6082			BR357	Solanum dulcamara		1994	Europe	UK		Berkshire		Ralstonia solanacearum	-0.91135779	51.477904											
YO248	248	6083			BR356	Solanum dulcamara		1994	Europe	UK		Oxfordshire		Ralstonia solanacearum	-0.90832826	51.48417											
YO249	249	5981			WE-1	Water		1995	Europe	UK		Hertfordshire		Ralstonia solanacearum	-0.25642018	51.8099											
YO250	250	5984			WE-1-96	Water		1995	Europe	UK		Hertfordshire		Ralstonia solanacearum	-0.25642018	51.8099											
YO251	251	5989			95-WE1	Water		1995	Europe	UK		Hertfordshire		Ralstonia solanacearum	-0.25642018	51.8099											
YO252	252	6012			95-H2O-1	Water		1995	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.8265457	51.640175											
YO253	253	6013			95-H20-1(a)	Water		1995	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.8265457	51.640175											
YO254	254	6014			95-H2O-2(c)	Water		1995	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.8411028	51.609625											
YO255	255	6015			95-H2O-2c	Water		1995	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.8411028	51.609625											
YO256	256	6016			95-H2O-2	Water		1995	Europe	UK		Wiltshire		Ralstonia solanacearum	-1.8411028	51.609625											
YO257	257	6636				Solanum dulcamara		1995	Europe	UK		Oxfordshire		Ralstonia solanacearum	-1.1926559	51.6534306											
