NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
4160		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1996		M. Lopez			Spain	2001	J.Elphinstone			Solanum tuberosum	"SMT 69, IVIA 1632-2"	"Biovar 2.2000 (pathogenic on tomato, SMT reference strain (official EC method), FAP profile typical(2000), BOX-PCR typical profile (2000), Fluidal colony type (2000), Biovar 2 (2000)"
4159		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1997		M. Ravnikar			Unknown	2001	J.Elphinstone	CSL971980		Solanum tuberosum	"SMT 40, CFBP 4609"	"Isolated by Dr Maja Ravnikar in Slovenia from imported potatoes. Biovar 2.2000 (pathogenic on tomato), SMT reference strain (official EC method),FAP profile typical (2000), BOX-PCR typical profile (2000), Fluidal colony type (2000), Biovar 2 (2000)."
4158	2nd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1995		M. Sousa-Santos			Portugal	2001	J.Elphinstone			Solanum tuberosum	"SMT 39, CFBP 4608"	"Biovar 2.2000 (pathogenic on tomato), SMT reference strain (official EC method),FAP profile typical (2000), BOX-PCR typical profile (2000), Fluidal colony type (2000), Biovar 2 (2000)."
4157	REDRY NOW (2016)	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1995		D. Caffier			France	2001	J.Elphinstone			Solanum tuberosum cv charlotte	"SMT 67, LNPV 15.01"	"Biovar 2.2000( Pathogenic on tomato), SMT reference strain (official EC method), FAP profile typical (2000), BOX-PCR typical profile (2000), Fluidal colony type (2000), Biovar 2 (2000)."
4156		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	No						1995		J. Janse			Netherlands	2001	J.Elphinstone			Solanum tuberosum cv Bildstar)	"SMT 71, CFBP3857, PD2762"	"Race 3 Biovar 2.Pathogenic on tomato (2000) SMT reference strain (EC official method). FAP profile typical (2000), BOX-PCR typical profile (2000), Fluidal colony type, Biovar 2 (2000)"
4155		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1989		J. van Vaerenbergh			Belgium		J.Elphinstone			Solanum tuberosum	"SMT 26, CFBP 4601, LMG 9575"	"Biovar 2.2000 (pathogenic on tomato), SMT reference strain (EC official method), FAP profile typical (2000), BOX PCR profile typical (2000), Fluidal colony type, Biovar 2 (2000)"
4154	2nd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996									J. van Vaernebergh			Turkey	2001	J.Elphinstone			Solanum tuberosum	"SMT 10, CFBP"	"Biovar 2.2000 (pathogenic on tomato). SMT reference strain (official EC method.FAP profile typical (2000), BOX PCR profile typical (2000), Fluidal colony type (2000), Biovar 2 (2000)"
4153		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996							1998					Egypt	2001	J.Elphinstone			Solanum tuberosum	"SMT 6, CFBP 4582"	Biovar 2.1998 FAP profile typical fluidal colony type. 2000 BOX PCR typical of Biovar 2 (2000 SMT reference strain(EC Official method)
4131	"Deleted not a plant pathogen and duplication, =NCPPB 4129 and NCPPB 4166"	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996													2000	J.Elphinstone				"NCPPB 4130, NCPPB 4165, CFBP 2559"	
4130	"Deleted not a plant pathogen and duplication, =NCPPB 4129 and NCPPB 4166"	Ralstonia pickettii	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996	Ralstonia pickettii (Ralston et al. 1973) Yabuuchi et al. 1996									M. Pickett				2000	J.Elphinstone				"NCPPB 4131, NCPPB 4165, CFBP 2459, ATCC 27511, ICPB 3981, DSMZ 6297, LMG 5942"	
