NCPPB	NCPPB Notes	Taxon	Name	Name as Received	Sequencing - Sequenced	Other - Sequence type(s)	Other - Partial Gene Type	Other - Sequencing Notes	Other - URL link (NCBI)	Other - URL link (Q-bank)	Collection History - Year of Isolation	Collection History - Country of Isolation	Collection History - Isolated By	Collection History - Isolater's Reference	Collection History - Isolated From	Collection History - Country of Origin	Collection History - Year of Accession	Collection History - Donor	Collection History - Donor Reference	Collection History - Donor Institution	Collection History - Host	Reference - Other Collections	Other - Public Notes
1579		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		ex V.L. Quinon			Hawaii	1963	A.C. Hayward	B2061	ex M. Aragaki GW	Zingiber officinale	ATCC 33194	Biovar IV. Race 1.
1500	2nd VC completed 2024 - HB Removed public access due to low stock. Reinstate public access when new batch is created.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		A.C. Hayward B1863			Fiji	1963				Solanum tuberosum		Biovar III
1493	Deleted	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1959		ex A.C. Monllor			Puerto Rico	1963	J.E. Perez	PR81		Solanum lycopersicum		Biovar I.
1489	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		R.A. Lelliott			Madeira	1963				Solanum tuberosum		Biovar II
1486	2nd VC completed 2026-MB TMTC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		A.C. Hayward B1721			Uganda	1963				Arachis hypogaea		Biovar III.
1485	REQ. REDRY N.A. - cannot locate batch IV - redrying w/c 26.2.24	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		ex A. Felix F74			Mauritius	1963	A.C. Hayward	B1728		Phaseolus vulgaris		Biovar III. Phylotype I (NCPPB May 2021)
1484		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		ex A. Felix F76			Mauritius	1963	A.C. Hayward	B1730		Strelitzia reginae		Biovar III. Phylotype II (NCPPB 2021)
1483		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1963		A.C. Hayward B1736			Australia	1963				Solanum tuberosum		Biovar II.
1400	2nd VC completed 2025 MB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1962		ex W.H. Sutton				1963	A.C. Hayward	B1364		Solanum lycopersicum		Biovar IV. Phylotype I (NCPPB May 2021)
1333	Failed VC 2025 refreezedry	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1962		A.C. Hayward B1203			India	1962				Solanum tuberosum		Biovar II.
1331	stored at -80. LFD+	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1962		A.C. Hayward B1202			India	1962				Solanum tuberosum		Biovar II.
1323	2nd VC completed 2023 - HB	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1962		A.C. Hayward B1114			Sri Lanka	1962				Solanum tuberosum		Biovar II.
1226	2nd VC done 2026 MB 5.3x10^5	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1958		ex A.C. Monllor			Puerto Rico	1962	J.E. Perez	PR69		Solanum lycopersicum		Biovar I.
1225		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1958		ex A.C. Monllor			Puerto Rico	1962	J.E. Perez	PR65		Solanum lycopersicum		Biovar I.
1140		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		A.C. Hayward B788			Papua New Guinea	1962				Solanum lycopersicum		Biovar III. Phylotype I (NCPPB May 2021)
1127	REQ. REDRY N.A.	Robbsia andropogonis	Burkholderia andropogonis (Smith 1911) Gillis et al. 1995	Pseudomonas stizolobii	No						1961		ex A. Rothwell MR 17197			Zimbabwe	1962	A.C. Hayward	B783		Bougainvillea sp.	SMT 53	Cross reacts with Ralstonia solanacearum polyclonal antisera
1123		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		ex D. Shaw 3363			Papua New Guinea	1962	A.C. Hayward	B786A		Solanum lycopersicum		Biovar IV
1115		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		R.A. Lelliott VI			Egypt	1962				Solanum tuberosum		Biovar II.
1052		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		A.C. Hayward B669			Malaysia	1961				Zingiber officinale	ICPB PS 297	Biovar IV.
1049	REQ. REDRY N.A.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		A.C. Hayward B629			Kenya	1961				Solanum lycopersicum		Biovar II
1045	Removed public access due to low stock. Reinstate public access when new batch is created.	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961		ex I.D. Firman			Kenya	1961	A.C. Hayward	B592		Solanum melongena		Biovar III. Phylotype I (NCPPB May 2021)
1029		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1961					Reunion	1961	A.C.Hayward	B509		Pelargonium capitatum		Biovar I.
1029	Taken off public access due to low ampoule count 27/11/24	Ralstonia pseudosolanacearum		Pseudomonas solanacearum (Smith 1896) 1914							1961					Reunion	1961	A.C.Hayward	B509		Pelargonium capitatum		Biovar I.
1028	Failed VC 2025 refreezedry	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1961		A.C. Hayward B587			Kenya	1961				Solanum tuberosum		Biovar II
1019		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1960		M. de L. d'Oliveira			Portugal	1961				Solanum lycopersicum		Biovar II.
1018		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1961		M. de L. d'Oliveira			Angola	1961				Solanum tuberosum		Biovar I
945	CHECK VC IN 5 YEARS	Burkholderia cepacia	Burkholderia cepacia (ex Burkholder 1950) Yabuuchi et al. 1993	Pseudomonas cepacia													1961	ICPB PC22		ex W.H. Burkholder		SMT 55	WGS confirms this strain is B. cepacia (NCPPB March 2025). Cross reacts with Ralstonia solanacearum polyclonal antisera
928		Ralstonia pseudosolanacearum	Ralstonia sp.								1956		ex J.A. Spence			Jamaica	1961	A.C. Hayward	B213		Saccharum officinarum		"Taxon B (Hayward, 1962). Fatty acids typical of Ralstonia but BOX profile not typical of any R.sol bvs. Phylotype III (NCPPB May 2021)"
928		Ralstonia psuedosolanacearum									1956		ex J.A Spence			Jamaica	1961	A.C Hayward	B213		Saccharum officinarum		"Taxon B (Hayward, 1962). Fatty acids typical of Ralstonia but BOX profile not typical of any R.sol bvs. Phylotype III (NCPPB May 2021)"
927		Ralstonia solanacearum	Ralstonia sp.								1961		ex I.A.S. Gibson			USA	1961	A.C. Hayward	B490		Saccharum officinarum		"Taxon B (Hayward, 1962). Fatty acids typical of Ralstonia but BOX profile not typical of any R.sol bvs. Phylotype II (NCPPB 2021)"
909		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1961		R.A. Lelliott			Egypt	1961				Solanum tuberosum		Biovar II
792	REQ. REDRY N.A.CHECK VC IN 5 YEARS	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex S.J. Navaratnam			Malaysia	1960	A.C. Hayward	79918		Tectona grandis.		Biovar III. Phylotype I (NCPPB May 2021)
791		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex I.W. Buddenhagen 280			Costa Rica	1960	A.C. Hayward	77736		Eclipta alba		Biovar III. Phylotype I (NCPPB May 2021)
790		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex I.W. Buddenhagen 217			Costa Rica	1960	A.C. Hayward	77735		Physalis angulata	ATCC 33192	Biovar III. Phylotype I (NCPPB May 2021)
789	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex I.W. Buddenhagen 258			Honduras	1960	A.C. Hayward	77734		Musa sp.		Biovar 1.
788		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex I.W. Buddenhagen 139			Costa Rica	1960	A.C. Hayward	77733		Musa sp.		Biovar I.
787	When grown on SPA appears A-Typical until culture 4 days old. Does not produce brown pigmentaion on TSBA.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914									ex I.W. Buddenhagen 100			Costa Rica	1960	A.C. Hayward	77732		Musa sp	ICPB PS138	Biovar I.
643		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1959		W.J. Dowson 369			Cyprus	1959				Solanum tuberosum		Biovar II
616		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1957		ex J.A. Spence			Trinidad	1959	W.J. Dowson			Solanum lycopersicum		Biovar I
613	VC failed 12/01/2024. reinstate public access when new batch is created	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1958		ex A. Ciccarrone			Brazil	1958	W.J. Dowson	421		Solanum tuberosum		Biovar II
505		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1956		ex G.R. Bates			Zimbabwe	1957	W.J. Dowson	387		Symphytum sp		Biovar I.
503		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1956		ex G. Orian			Mauritius	1957	W.J. Dowson	384		Dahlia sp		Biovar III. Phylotype I (NCPPB May 2021)
502	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1956		ex G. Orian			Mauritius	1957	W.J. Dowson	383		Casuarina equisetifolia		Biovar III. Phylotype I (NCPPB May 2021)
501		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1956		ex G. Orian			Mauritius	1957	W.J. Dowson	382		Brassica oleracea var. capitata		Biovar III. Phylotype I (NCPPB May 2021)
500		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914							1956		ex G. Orian			Mauritius	1957	W.J. Dowson	381		Vicia faba		Biovar III. Phylotype I (NCPPB May 2021)
446		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1957		A.C. Hayward			Trinidad	1957				Musa sp	ICPB PS150	Biovar I.
342		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No								G.R. Bates MR12288			Zimbabwe	1954				Nicotiana tabacum.		Biovar I.
339	REQ. REDRY N.A.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Israel	1954	Z. Volcani	80				Biovar II.
338	2nd VC completed 2026 MB TMTC	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1954	A. Kelman			Nicotiana tabacum	ICPB PS125	Biovar I
337	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1954	A. Kelman			Nicotiana tabacum	ICPB PS124	Biovar I
332		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1954					Zimbabwe	1954	G.R. Bates	SRN 15		Solanum tuberosum		Biovar I
326	Freeze dried to SOP PLH/808 - NO post drying tests carried out.	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1953	A. Kelman	119				Biovar I.
325	"Historically known as K 60. Added to the MALDI-TOF library on 19/10/2022 (SMSA, SPA, TSBA, b.TSBA)."	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											USA	1953	A. Kelman	60-1		Solanum lycopersicum	"ATCC 11696, ICPB PS256, ICMP 5712, CFBP 2047, SMT41, LMG 2299, DSMZ 9544, CCUG 1"	"Race 1 Biovar I. SMT reference strain (EC official method),"
283	2nd VC completed 2026 MB TMTC	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1950					Zimbabwe	1950	G.R. Bates	7195		Solanum panduraforme		Biovar I.
282	2nd VC completed 2026 MB TMTC	Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1950					Colombia	1950	J.G. Hawkes			Solanum tuberosum	ICPB PS149	Biovar II.
253	Light blue amps found.(7) Have possibly been made and not recorded on system. Viability check carried out on light blue (batch IV) amps. HB 04/01/2023	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No						1949		G. Orian B14			Mauritius	1949				Casuarina equisetifolia		Biovar III
216		Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Zimbabwe	1948	G.R. Bates	7754		Solanum tuberosum		Biovar I. Not pathogenic to Solanum lycopersicum (NCPPB).
215	2nd VC completed 2024 - HB	Ralstonia pseudosolanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Zimbabwe	1948	G.R. Bates	7092		Solanum lycopersicum		Biovar I. Not pathogenic to Solanum lycopersicum (NCPPB).
173		Ralstonia solanacearum	Ralstonia solanacearum (Smith 1896) Yabuuchi et al. 1996	Pseudomonas solanacearum (Smith 1896) 1914	No											Kenya	1945	R.M. Nattrass			Solanum tuberosum	ICPB PS101	Biovar II. Partial gene sequencing (egl) suggests this organism is Race 3.
